Index	Name	Author	FileName	Tags	Dependencies	URL
37	Vessnelle_Hair3 - Icon Patch	loregamer	Vessnelle_Icons3_056988ea-6baa-4b63-8322-525d72c3a7bf.pak			
38	Tav's Hairpack	Toarie	DFHairPack_da0b99ca-4406-49c1-bef9-3a08621280a2.pak			
39	Tav's Hairpack - Icon Patch	perseidipity	THSIconPatch_bfad4cdb-0b02-435a-96c7-06c0f6533055.pak		Tav's Hairpack	
40	Silver's Hair Pack	Silver	Silver_HairPack_1fd44eaf-a4d2-4de4-9560-51a0c8a63987.pak			
41	Silver's Hair Pack 2	Silver	Silver_HairPack2_c56e4b79-3bf3-446b-b06b-27dc86337663.pak			
42	Silver's Hair Mixer	Silver	Silver_HairMixer_84e1ea8f-9e29-40cd-9109-c87c9aa24a08.pak			
43	HairMixer by Ren	Ren	HairMixer_0b2f6b4e-8291-4940-8e4b-5ad3a9bfe858.pak			
44	Padmes Hair Colours	Padme4000	Padmes_CCHairColours_1c260369-ea64-4880-9a70-86482cac71f0.pak			
45	P4_CCBlondeEdits	Padme4000	P4_CCBlondeEdits_5ca57233-7f74-42d2-8952-73d2f4a8f073.pak			
46	P4 Bangs Bangs Everywhere	Padme4000	p4_fringes_80fb12aa-1d82-4df4-af42-7beae9250fb2.pak			
47	Dissidia's Heads - Standalone	xdissidiax-kart	dissidia_male_beauty_collection_d1679b91-4430-48b2-b518-a478950cc5d3.pak			
48	Kylin's Heads	Kylin3	Kylin_Heads_afface23-2d71-4614-88f9-bdbabdd61e03.pak			
49	Loulette Head Mix	Loulette	Loulette_New_Heads_834e5b15-988a-404e-b6d2-f8fbc0c8097c.pak			
50	Tasha's Cauldron of Faces	TashaWeeds	TW_Faces_fbbca08c99-8141-459b-8cdf-eba2f87040ae.pak			
51	Vemperen's Other Heads	Dufresne12, vemperen, Kartoffel	vemperens_heads_ef0fb0e3-a4e1-4672-84b3-bc63260e12af.pak			
52	Bald Astarion	loregamer	BaldAstarion_b3171185-cd43-4702-a975-bc4bb85fd902.pak			
53	Halsin Revamped	loregamer	HalsinRevamped_e3d7b02a-838e-4245-a3d2-8303de1ed513.pak			
54	Halsin Revamped: Hair Style - Vessnelle 8	loregamer	HalsinRevampedVessnelleHair_50220ab8-a20e-42fb-bca6-c36ff5f91c80.pak			
55	Mystra Reimagined	neonbutchery	MystraSlay_a1ce6ab4-e4e7-4334-9bc6-18bd69602023.pak			
56	Karlach No Scars With Glow	ElaineC15	Karlach No Scars With Glow_02754da7-fa99-4196-bcf1-907aa52a2ee4.pak			
57	FacePaintingKitToTutorialChest	AeternaAmantes	FacePaintingKitToTutorialChest_046e9c92-8109-4bfe-850c-e8fbb07a9f12.pak			
58	CC Hider - Hairs - Bald Options	loregamer	HideCC_Hairs_BaldStyles_7615dc2a-cc6f-40ba-b125-a7aff61dde9e.pak			
59	BagsBagsBags	Liareth	BagsBagsBags_3e158fb8-686e-4153-9430-e27f4b9fb7f8.pak			
60	BagsBagsBags No Story Items	bk0n9	BagsBagsBags-NoStoryItems_80f59234-f0ed-4406-94ca-a028dfadb766.pak			
61	BasketEquipmentSFW	AnteMaxx	BasketEquipmentSFW_b200f917-43ec-45d9-9dff-ac6191d62388.pak			
62	Cactus' Armors and Clothes	CactusBack	CactusBack_27eb959f-02b1-4a9f-a6cb-e6fcefea8b60.pak			
63	Cy's Armor Fixes	Cytraen	CyArmorFixes_0c15116a-4d1f-44a7-bd91-8c0aa78b227d.pak			
64	Extra Gear	pooteeweet	PTW_Extra_Gear_2cd6c65a-71cc-4db6-bfb2-70116ccd2b94.pak			
65	Fancy Camp Clothes	pooteeweet	PTW_Camp_Gear_9200b207-328e-4432-98e8-88a6cd735511.pak			
66	More Mage Gear - No Vendors	pooteeweet	PTW_Sorcerer_94fed047-7d79-41e3-9d1c-1a3b3de781e4.pak			
67	Paladin and Cleric Gear	pooteeweet	PTW_Gear_Paladin_92d48458-fec4-440f-af56-9a2f218cd74b.pak			
68	Purchasable Camp Clothes - All Clothing Sets	anshela	PurchaseAllCampClothes_edebdd38-6cf9-40ed-9784-dab29705e78d.pak			
69	Paladins Oath to the Gods	Sapphire	Paladins Deity_057cc8bd-fa3b-4ca7-933f-1291236ff871.pak			
70	CampAutoSaver	OhhLoz	CampAutoSaver_66009818-25ce-4bc7-8bba-cafdc3f1a73e.pak	CampAutoSaver		
71	ShortRestAutoSaver	OhhLoz	ShortRestAutoSaver_f35eee49-1ba8-4569-87f7-0ca9ce8116fc.pak	ShortRestAutoSaver		
72	TradeAutoSaver	OhhLoz	TradeAutoSaver_ecce9525-a198-4cdb-a2a3-23fd6881e766.pak	TradeAutoSaver		
73	TutorialChestSummoning	wesslen	TutorialChestSummoning_505c630c-79fa-49b6-9f21-29a5f2322c2d.pak			
74	KvCampEvents	Kvalyr	KvCampEvents_1b8d381f-6210-4473-85be-600457267a87.pak			
75	MusicalProficiencyFromInstruments	Belinn	MusicalProficiencyFromInstruments_d4dd6968-f443-41af-8aad-404d56952d9f.pak			
76	StockInstruments	Belinn	StockInstruments_3fccc807-eae5-416f-9837-16726b0958d9.pak			
77	Teleport To You	FallenStar	Teleport_To_You_ff4697d0-133a-4d23-802b-f99f0e5210db.pak			
78	CombatAutoSaver	OhhLoz	CombatAutoSaver_0c4a55f3-1b4b-40dc-9631-748c49ceb650.pak			
79	InfiniteDyes	Sqwero	InfiniteDyes_74b4r77f-22c3-4e78-915b-4cf795ec2b86.pak			
80	JWL Drop All The Loot	Jewels	JWL_DATL_48cc6be3-f1c4-4acb-9172-189f13b1d753.pak			
81	CombatAutoSaverOnEnd	OhhLoz	CombatAutoSaverOnEnd_9837d6f1-e2e9-442d-bd9e-4d700d9defad.pak			
82	Less Useless Spells	Me	LUS_5aa16cfa-63d9-44a3-896c-53331d3b7527.pak			
83	FireproofKarlach	Belinn	FireproofKarlach_0d77ef52-11ac-4031-8027-1a625834a16c.pak			
84	Ritual Misty Step	Joco	Ritual Misty Step_352b78cf-716c-4bcc-8e4f-a4365a9322de.pak			
85	Sheathed	skixp	Sheathed_f8aeec00-bbc0-4345-888e-e5e8109d40f7.pak			
86	True Initiative	Ledfoot89	True Initiative_de1b71ed-acc7-4364-82df-4a91e4cf86be.pak			
87	AutolootAura	unamazement	AutolootAura_0c090ccf-c9bb-422e-bbfd-6242174992a2.pak			
88	RichTraders	yakuzadeso	RichTraders_ede9c8dc-3eb9-492b-af3b-50c6e77901db.pak	Gameplay		
89	Shower More - Dirt and Blood, Timer and Active	Loktide	ShowerMore_bad404aa-feed-a0ee-9999-feedfeed0005.pak			
90	RangedAttackNoCameraMove	Gycicada	RangedAttackNoCameraMove_37539405-b390-4eb8-8a73-f45555555555.pak			
91	TadpoleDialogueNoCooldown	Cytraen	TadpoleDialogueNoCooldown_10d4c358-ffb0-4fec-9abe-9723d8ea7c29.pak			
92	Party Limit Begone	Sildur	PartyLimitBegone_1d6c4030-67b9-4b0a-b3ab-caf6dd73d1af.pak			
93	Loot Autoseller	FallenStar	Auto_Sell_Loot_0662253d-1cbf-479f-80c2-5878c6eb5a80.pak			
94	Mark Book As Read	FallenStar	Fallen_Mark_As_Read_c72d9f6a-a6e4-48b1-98c0-0ecdc7c31cf7.pak			
95	CarryWeightTweaks	Avalonica	CarryWeightTweaks_8ed03eae-77ea-4bc4-b850-385a4f11ed47.pak			
96	Use Best Sleight of Hand	JonHinkerton	BestLockpicking_ba3932c0-35d1-405f-8f2b-709ac018f486.pak	Template		
97	AlwaysShowApprovals	ancientbuho	AlwaysShowApprovals_d59f8afd-8535-4bb3-81da-a931ea475813.pak			
98	AppearanceEditEnhanced	Eralyne	AppearanceEditEnhanced_7b8366bd-abc1-4f9f-ba9d-585549b4a750.pak	Customization, Utility		
99	AppearanceEditOrigins	Eralyne	AppearanceEditOrigins_60de8215-7e9f-4cb6-9763-05aa6aecf257.pak	Customization, Utility		
100	TransmogEnhanced	Eralyne, Wayden	TransmogEnhanced_82c1f53b-5ed3-4e2e-95f5-f84ca6ff0c81.pak	Customization, Utility		
101	TEHideAppearanceRing	Eralyne, Wayden	TEHideAppearanceRing_642035f0-6390-43fa-afb7-2409628b3cc4.pak	Customization, Utility		
102	UnlockLevelCurve	Charis	UnlockLevelCurve_d903677e-f24b-48ec-ab20-98dcc116a371.pak			
103	CompatibilityFramework	BG3 Community	SubclassCompatibilityFramework_67fbbd53-7c7d-4cfa-9409-6d737b4d92a9.pak	Template		
