Index	Name	Author	FileName	Tags	Dependencies	URL
39	FireproofKarlach	Belinn	FireproofKarlach_0d77ef52-11ac-4031-8027-1a625834a16c.pak			
40	TransmogEnhanced	Eralyne, Wayden	TransmogEnhanced_82c1f53b-5ed3-4e2e-95f5-f84ca6ff0c81.pak	Customization, Utility		
41	TEHideAppearanceRing	Eralyne, Wayden	TEHideAppearanceRing_642035f0-6390-43fa-afb7-2409628b3cc4.pak	Customization, Utility		
42	Use Best Sleight of Hand	JonHinkerton	BestLockpicking_ba3932c0-35d1-405f-8f2b-709ac018f486.pak	Template		
43	TadpoleDialogueNoCooldown	Cytraen	TadpoleDialogueNoCooldown_10d4c358-ffb0-4fec-9abe-9723d8ea7c29.pak			
44	InfiniteDyes	Sqwero	InfiniteDyes_74b4r77f-22c3-4e78-915b-4cf795ec2b86.pak			
45	Emotes	claravel	Emotes_5c0962bc-f6c9-43db-b88e-5836d5edef3a.pak			
46	AutolootAura	unamazement	AutolootAura_0c090ccf-c9bb-422e-bbfd-6242174992a2.pak			
47	AppearanceEditEnhanced	Eralyne	AppearanceEditEnhanced_7b8366bd-abc1-4f9f-ba9d-585549b4a750.pak	Customization, Utility		
48	AppearanceEditOrigins	Eralyne	AppearanceEditOrigins_60de8215-7e9f-4cb6-9763-05aa6aecf257.pak	Customization, Utility		
49	UnlockLevelCurve	Charis	UnlockLevelCurve_d903677e-f24b-48ec-ab20-98dcc116a371.pak			
50	CompatibilityFramework	BG3 Community	SubclassCompatibilityFramework_67fbbd53-7c7d-4cfa-9409-6d737b4d92a9.pak	Template		
